FID,ogc_fid,upid,usid,category
oilslicks.1,1,261.0001,261,Pollution Slick Second Rank
oilslicks.2,2,261.0002,261,Pollution Slick Second Rank
oilslicks.3,3,261.0003,261,Pollution Slick Second Rank
oilslicks.4,4,261.0004,261,Pollution Slick Second Rank
oilslicks.20,20,261.002,261,Pollution Slick Second Rank
oilslicks.5,5,261.0005,261,Pollution Slick Second Rank
oilslicks.6,6,261.0006,261,Pollution Slick Second Rank
oilslicks.7,7,261.0007,261,Pollution Slick Second Rank
oilslicks.8,8,261.0008,261,Pollution Slick Second Rank
oilslicks.9,9,261.0009,261,Pollution Slick Second Rank
oilslicks.10,10,261.001,261,Pollution Slick Second Rank
oilslicks.11,11,261.0011,261,Pollution Slick Second Rank
oilslicks.88,88,261.0088,261,Pollution Slick Second Rank
oilslicks.12,12,261.0012,261,Pollution Slick Second Rank
oilslicks.13,13,261.0013,261,Pollution Slick Second Rank
oilslicks.14,14,261.0014,261,Pollution Slick Second Rank
oilslicks.15,15,261.0015,261,Pollution Slick Second Rank
oilslicks.16,16,261.0016,261,Pollution Slick Second Rank
oilslicks.17,17,261.0017,261,Pollution Slick Second Rank
oilslicks.18,18,261.0018,261,Pollution Slick Second Rank
oilslicks.19,19,261.0019,261,Pollution Slick Second Rank
oilslicks.21,21,261.0021,261,Pollution Slick Second Rank
oilslicks.22,22,261.0022,261,Pollution Slick Second Rank
oilslicks.23,23,261.0023,261,Pollution Slick Second Rank
oilslicks.24,24,261.0024,261,Pollution Slick Second Rank
oilslicks.25,25,261.0025,261,Pollution Slick Second Rank
oilslicks.26,26,261.0026,261,Pollution Slick Second Rank
oilslicks.27,27,261.0027,261,Pollution Slick Second Rank
oilslicks.28,28,261.0028,261,Pollution Slick Second Rank
oilslicks.29,29,261.0029,261,Pollution Slick Second Rank
oilslicks.30,30,261.003,261,Pollution Slick Second Rank
oilslicks.31,31,261.0031,261,Pollution Slick Second Rank
oilslicks.32,32,261.0032,261,Pollution Slick Second Rank
oilslicks.33,33,261.0033,261,Pollution Slick Second Rank
oilslicks.34,34,261.0034,261,Pollution Slick Second Rank
oilslicks.35,35,261.0035,261,Pollution Slick Second Rank
oilslicks.36,36,261.0036,261,Pollution Slick Second Rank
oilslicks.37,37,261.0037,261,Pollution Slick Second Rank
oilslicks.38,38,261.0038,261,Pollution Slick Second Rank
oilslicks.39,39,261.0039,261,Pollution Slick Second Rank
oilslicks.40,40,261.004,261,Pollution Slick Second Rank
oilslicks.41,41,261.0041,261,Pollution Slick Second Rank
oilslicks.42,42,261.0042,261,Pollution Slick Second Rank
oilslicks.43,43,261.0043,261,Pollution Slick Second Rank
oilslicks.44,44,261.0044,261,Pollution Slick Second Rank
oilslicks.45,45,261.0045,261,Pollution Slick Second Rank
oilslicks.46,46,261.0046,261,Pollution Slick Second Rank
oilslicks.47,47,261.0047,261,Pollution Slick Second Rank
oilslicks.48,48,261.0048,261,Pollution Slick Second Rank
oilslicks.49,49,261.0049,261,Pollution Slick Second Rank
